zip,er_visits,year,quarter,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
11375,34,2022,2,56,5,0,17,29,357,85,6,0,2,41,53,49,2,392,218,462,117
11375,29,2022,3,24,3,0,25,52,361,68,8,0,1,88,47,124,4,331,196,502,95
11375,27,2022,4,30,5,0,24,30,367,27,8,0,0,47,35,66,4,930,152,474,77
11377,53,2022,1,12,1,17,21,19,605,20,2,0,0,74,54,53,2,933,246,333,109
11377,65,2022,2,18,5,0,28,21,370,57,2,0,0,91,46,85,5,406,250,407,146
11377,55,2022,3,15,3,0,35,32,478,81,3,1,4,110,34,235,5,367,326,497,130
11377,57,2022,4,17,3,0,24,14,380,63,5,0,0,74,27,55,7,892,303,482,139
11378,34,2022,1,6,4,12,5,8,544,2,5,0,0,17,18,58,0,220,108,149,60
11378,16,2022,2,12,3,0,11,3,224,6,4,0,0,42,14,88,3,167,137,217,69
11378,11,2022,3,8,2,0,9,16,214,9,2,1,2,63,18,183,2,161,168,242,67
11378,20,2022,4,6,0,0,10,7,257,10,2,0,0,16,7,88,3,313,182,187,51
11379,21,2022,1,3,0,14,6,4,534,1,0,0,0,23,23,77,5,331,67,106,37
11379,13,2022,2,8,4,0,11,6,159,0,3,0,1,51,17,91,2,187,78,107,49
11379,10,2022,3,7,0,0,20,11,225,4,1,1,2,65,19,248,0,176,101,142,36
11379,24,2022,4,8,0,0,11,6,243,3,5,0,0,20,31,86,2,402,66,93,20
11385,79,2022,1,40,2,25,46,18,1612,12,8,1,0,145,113,100,12,933,336,499,161
11385,95,2022,2,23,3,0,59,39,638,25,19,1,1,183,92,132,7,605,431,594,159
11385,100,2022,3,25,3,0,77,36,765,42,11,1,1,245,73,237,2,557,410,545,165
11385,144,2022,4,24,3,0,73,37,893,22,15,0,0,183,107,128,6,1077,390,585,139
11411,NULL,2022,1,2,1,0,9,5,307,1,0,0,0,4,3,42,0,126,44,93,25
11411,NULL,2022,2,7,0,0,8,6,146,2,0,0,0,9,2,65,0,113,57,86,39
11411,NULL,2022,3,1,0,0,7,2,146,2,2,0,1,14,4,65,0,80,56,103,54
11411,NULL,2022,4,0,0,0,16,1,153,4,0,0,0,6,6,63,0,125,55,112,44
11412,50,2022,1,4,1,0,35,5,623,5,0,0,0,14,30,79,0,288,222,353,76
11412,56,2022,2,0,2,0,15,6,406,4,1,0,0,31,10,94,0,147,245,363,78
11412,53,2022,3,0,1,0,31,5,489,7,0,0,3,26,18,95,1,187,201,350,87
11412,63,2022,4,3,2,0,24,5,410,14,0,0,0,15,15,81,1,295,192,355,77
11413,78,2022,1,6,1,3,20,3,617,1,1,1,0,13,12,115,0,354,129,166,59
11413,97,2022,2,3,1,0,7,5,281,3,1,0,0,22,6,118,0,173,123,195,100
11413,96,2022,3,9,2,0,16,6,349,3,0,0,8,32,13,95,0,174,191,218,104
11413,112,2022,4,3,0,0,32,5,366,4,0,0,0,9,7,123,1,372,156,242,86
11414,NULL,2022,1,1,0,46,5,5,449,2,1,0,0,14,7,68,0,192,75,67,31
11414,NULL,2022,2,5,4,0,7,6,192,4,1,0,0,21,3,72,1,107,87,89,49
11414,NULL,2022,3,2,0,1,14,12,199,9,3,0,0,16,7,72,0,129,88,103,46
11414,NULL,2022,4,5,0,0,6,13,162,9,2,0,0,12,8,81,4,133,73,95,34
11415,NULL,2022,1,1,0,4,6,2,166,0,2,0,0,4,12,8,2,290,52,101,21
11415,NULL,2022,2,2,1,0,13,5,97,5,1,0,0,12,16,16,1,135,72,118,34
11415,NULL,2022,3,1,0,0,11,3,123,7,2,0,0,10,7,41,1,92,68,152,32
11415,NULL,2022,4,1,2,0,17,5,125,6,1,0,0,8,11,10,2,415,76,125,40
11416,NULL,2022,1,3,0,4,12,6,342,4,1,2,0,16,22,28,1,251,74,139,60
11416,NULL,2022,2,7,0,0,21,10,139,8,2,1,2,26,15,44,0,138,89,149,71
11416,NULL,2022,3,3,0,0,16,9,160,6,0,0,4,28,10,28,0,136,100,152,59
11416,NULL,2022,4,0,0,0,8,8,184,15,2,0,0,12,12,34,0,212,115,144,64
